"row ID","Name","Count(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"Row0","'98 Koshien",1,1998,"Sports","Magical Company",0.15,0.1,0.12,0.03,0.41
"Row1",".hack//G.U. Vol.1//Rebirth",1,2006,"Role-Playing","Namco Bandai Games",0.0,0.0,0.17,0.0,0.17
"Row2",".hack//G.U. Vol.2//Reminisce",1,2006,"Role-Playing","Namco Bandai Games",0.11,0.09,0.0,0.03,0.23
"Row3",".hack//G.U. Vol.2//Reminisce (jp sales)",1,2006,"Role-Playing","Namco Bandai Games",0.0,0.0,0.16,0.0,0.16
"Row4",".hack//G.U. Vol.3//Redemption",1,2007,"Role-Playing","Namco Bandai Games",0.0,0.0,0.17,0.0,0.17
"Row5",".hack//Infection Part 1",1,2002,"Role-Playing","Atari",0.49,0.38,0.26,0.13,1.27
"Row6",".hack//Link",1,2010,"Role-Playing","Namco Bandai Games",0.0,0.0,0.14,0.0,0.14
"Row7",".hack//Mutation Part 2",1,2002,"Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68
"Row8",".hack//Outbreak Part 3",1,2002,"Role-Playing","Atari",0.14,0.11,0.17,0.04,0.46
"Row9",".hack//Quarantine Part 4: The Final Chapter",1,2003,"Role-Playing","Atari",0.09,0.07,0.0,0.02,0.18
"Row10",".hack: Sekai no Mukou ni + Versus",1,2012,"Action","Namco Bandai Games",0.0,0.0,0.03,0.0,0.03
"Row11","007 Racing",1,2000,"Racing","Electronic Arts",0.3,0.2,0.0,0.03,0.53
"Row12","007: Quantum of Solace",6,2008,"Action","Activision",1.84,1.35,0.04,0.68,3.92
"Row13","007: The World is not Enough",2,2000,"Action","Electronic Arts",1.64,0.73,0.02,0.09,2.47
"Row14","007: Tomorrow Never Dies",1,1999,"Shooter","Electronic Arts",1.72,1.33,0.0,0.16,3.21
"Row15","1 vs. 100",1,2008,"Misc","DSI Games",0.08,0.0,0.0,0.01,0.09
"Row16","1/2 Summer +",1,2013,"Adventure","Kaga Create",0.0,0.0,0.01,0.0,0.01
"Row17","10 Minute Solution",1,2010,"Sports","Activision",0.06,0.01,0.0,0.01,0.08
"Row18","100 All-Time Favorites",1,2009,"Puzzle","Ubisoft",0.35,0.12,0.0,0.04,0.51
"Row19","100 Classic Books",1,2008,"Misc","Nintendo",0.13,0.52,0.0,0.02,0.67
"Row20","100 Classic Games",1,2011,"Misc","Rondomedia",0.0,0.03,0.0,0.0,0.04
"Row21","1000 Cooking Recipes from ELLE à table",1,2010,"Misc","Nintendo",0.0,0.02,0.0,0.0,0.03
"Row22","1001 Touch Games",1,2011,"Action","Avanquest",0.12,0.17,0.0,0.04,0.33
"Row23","101-in-1 Explosive Megamix",1,2008,"Puzzle","Nordcurrent",0.05,0.13,0.0,0.02,0.2
"Row24","101-in-1 Party Megamix Wii",1,2009,"Misc","Nordcurrent",0.19,0.01,0.0,0.02,0.23
"Row25","101-in-1 Sports Megamix",1,2010,"Sports","Nordcurrent",0.08,0.0,0.0,0.01,0.08
"Row26","101-in-1 Sports Party Megamix",1,2010,"Sports","Nordcurrent",0.02,0.0,0.0,0.0,0.03
"Row27","1080°: TenEighty Snowboarding",1,1998,"Sports","Nintendo",1.25,0.61,0.13,0.05,2.03
"Row28","11eyes: CrossOver",2,2009,"Adventure","5pb",0.0,0.0,0.04,0.0,0.04
"Row29","12-Sai. Honto no Kimochi",1,2014,"Adventure","Happinet",0.0,0.0,0.07,0.0,0.07
"Row30","12-Sai. Koisuru Diary",1,2016,"Adventure","Happinet",0.0,0.0,0.04,0.0,0.04
"Row31","12Riven: The Psi-Climinal of Integral",1,2008,"Adventure","CyberFront",0.0,0.0,0.04,0.0,0.04
"Row32","15 Days",1,2009,"Adventure","DTP Entertainment",0.0,0.01,0.0,0.0,0.01
"Row33","1701 A.D.",1,2006,"Simulation","Deep Silver",0.0,0.25,0.0,0.05,0.3
"Row34","18 Wheeler: American Pro Trucker",2,2001,"Racing","Acclaim Entertainment",0.29000000000000004,0.16999999999999998,0.0,0.05,0.51
"Row35","18 Wheels of Steel: Extreme Trucker",1,2009,"Racing","Rondomedia",0.0,0.02,0.0,0.0,0.02
"Row36","18 Wheels of Steel: Extreme Trucker 2",1,2011,"Racing","Rondomedia",0.08,0.02,0.0,0.01,0.11
"Row37","187: Ride or Die",2,2005,"Racing","Ubisoft",0.12000000000000001,0.06999999999999999,0.0,0.02,0.21
"Row38","1942",1,1985,"Shooter","Capcom",0.65,0.14,0.21,0.0,1.0
"Row39","2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race",1,2005,"Racing","THQ",0.09,0.03,0.0,0.0,0.12
"Row40","2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures",1,2007,"Action","THQ",1.26,0.47,0.0,0.03,1.76
"Row41","2 Games in 1: Disney Princess & The Lion King",1,2004,"Misc","THQ",1.25,0.46,0.0,0.03,1.75
"Row42","2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2",1,2005,"Action","THQ",0.22,0.08,0.0,0.01,0.31
"Row43","2 Games in 1: Sonic Advance & ChuChu Rocket!",1,2005,"Misc","THQ",1.31,0.49,0.0,0.03,1.83
"Row44","2 Games in 1: Sonic Battle & ChuChu Rocket!",1,2005,"Misc","THQ",0.44,0.16,0.0,0.01,0.61
"Row45","2 Games in 1: Sonic Pinball Party & Columns Crown",1,2005,"Misc","Sega",0.04,0.02,0.0,0.0,0.06
"Row46","2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild",1,2005,"Platform","THQ",0.33,0.12,0.0,0.01,0.45
"Row47","2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe",2,2004,"Misc","Sega",0.49,0.12,0.0,0.03,0.65
"Row48","2-in-1 Game Pack: Spider-Man & Spider-Man 2",1,2005,"Platform","Activision",0.06,0.02,0.0,0.0,0.09
"Row49","2002 FIFA World Cup",3,2002,"Sports","Electronic Arts",0.38999999999999996,0.22000000000000003,0.16,0.06999999999999999,0.8300000000000001
"Row50","2010 FIFA World Cup South Africa",4,2010,"Sports","Electronic Arts",0.94,1.46,0.13,0.47,3.0
"Row51","2014 FIFA World Cup Brazil",2,2014,"Sports","Electronic Arts",0.29000000000000004,0.67,0.01,0.2,1.18
"Row52","24: The Game",1,2006,"Adventure","Sony Computer Entertainment",0.15,0.12,0.0,0.04,0.3
"Row53","25 to Life",2,2006,"Shooter","Eidos Interactive",0.47,0.05,0.0,0.06999999999999999,0.59
"Row54","2Xtreme",1,1996,"Sports","Sony Computer Entertainment",1.15,0.2,0.0,0.05,1.4
"Row55","3 in 1: Solitaire Mahjong & Tangram",1,2010,"Misc","Deep Silver",0.0,0.07,0.0,0.01,0.08
"Row56","300: March to Glory",1,2007,"Action","Warner Bros. Interactive Entertainment",0.27,0.08,0.0,0.06,0.41
"Row57","3D Baseball",1,1996,"Sports","BMG Interactive Entertainment",0.02,0.01,0.0,0.0,0.03
"Row58","3D Dot Game Heroes",1,2009,"Role-Playing","SouthPeak Games",0.36,0.12,0.03,0.07,0.57
"Row59","3D Lemmings",1,1995,"Puzzle","Psygnosis",0.03,0.02,0.0,0.0,0.06
"Row60","3D Tank Warfare Simulator Panzer Front",1,1999,"Simulation","Avalon Interactive",0.06,0.04,0.0,0.01,0.1
"Row61","3DS Classic Collection",1,2016,"Misc","Sega",0.02,0.0,0.0,0.0,0.03
"Row62","3Xtreme",1,1999,"Action","989 Studios",0.5,0.34,0.0,0.06,0.9
"Row63","3rd Super Robot Wars Z Jigoku Hen",2,2014,"Role-Playing","Namco Bandai Games",0.0,0.0,0.42000000000000004,0.0,0.42000000000000004
"Row64","3rd Super Robot Wars Z: Tengoku-Hen",2,2015,"Action","Namco Bandai Games",0.0,0.0,0.33999999999999997,0.0,0.33999999999999997
"Row65","4 Elements",1,2009,"Puzzle","Mastertronic",0.0,0.04,0.0,0.01,0.05
"Row66","4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship",1,2005,"Misc","Atari",0.11,0.0,0.0,0.01,0.12
"Row67","4 Nin uchi Mahjong",1,1984,"Misc","Nintendo",0.0,0.0,1.45,0.0,1.45
"Row68","40 Winks",1,1999,"Platform","GT Interactive",0.17,0.12,0.0,0.02,0.31
"Row69","428: Fuusa Sareta Shibuya de",3,2008,"Adventure","Sega",0.0,0.0,0.19,0.0,0.19
"Row70","4x4 EVO 2",2,2001,"Racing","Gathering of Developers",0.29,0.08,0.0,0.01,0.38
"Row71","4x4 Evolution",1,2001,"Racing","Gathering of Developers",0.16,0.12,0.0,0.04,0.32
"Row72","50 Cent: Blood on the Sand",2,2009,"Shooter","THQ",0.22,0.13,0.01,0.05,0.4
"Row73","50 Cent: Bulletproof",3,2005,"Action","Vivendi Games",1.26,0.86,0.0,0.19,2.3
"Row74","50 Classic Games",2,2009,"Misc","Destineer",0.52,0.02,0.0,0.04,0.5700000000000001
"Row75","64 de Hakken! Tamagotchi Minna de Tamagotchi World",1,1997,"Misc","Namco Bandai Games",0.0,0.0,0.22,0.0,0.22
"Row76","7 Days to Die",2,2016,"Action","Telltale Games",0.05,0.09000000000000001,0.0,0.02,0.16
"Row77","7 Roses: A Darkness Rises",1,2015,"Misc","Avanquest Software",0.0,0.02,0.0,0.0,0.02
"Row78","7 Wonders II",1,2009,"Puzzle","Rondomedia",0.14,0.15,0.0,0.03,0.32
"Row79","7 Wonders of the Ancient World",2,2007,"Puzzle","Funsta",0.17,0.01,0.0,0.02,0.21000000000000002
"Row80","7 Wonders: Treasures of Seven",1,2011,"Puzzle","Avanquest",0.02,0.03,0.0,0.01,0.05
"Row81","7th Dragon",1,2009,"Role-Playing","Sega",0.0,0.0,0.14,0.0,0.14
"Row82","7th Dragon 2020",1,2011,"Role-Playing","Sega",0.0,0.0,0.2,0.0,0.2
"Row83","7th Dragon 2020-II",1,2013,"Role-Playing","Sega",0.0,0.0,0.13,0.0,0.13
"Row84","7th Dragon III Code: VFD",1,2015,"Role-Playing","Sega",0.03,0.0,0.12,0.0,0.16
"Row85","99 no Namida",1,2008,"Adventure","Namco Bandai Games",0.0,0.0,0.04,0.0,0.04
"Row86","999: Nine Hours Nine Persons Nine Doors",1,2009,"Adventure","ChunSoft",0.37,0.0,0.03,0.03,0.43
"Row87","A Boy and His Blob",1,2009,"Platform","Majesco Entertainment",0.19,0.02,0.0,0.02,0.22
"Row88","A Bug's Life",2,1998,"Platform","Sony Computer Entertainment",2.45,0.85,0.0,0.12,3.42
"Row89","A Collection of Activision Classic Games for the Atari 2600",1,1998,"Misc","Activision",0.76,0.52,0.0,0.09,1.37
"Row90","A Collection of Classic Games from the Intellivision",1,1999,"Misc","Activision",0.17,0.12,0.0,0.02,0.31
"Row91","A Game of Thrones: Genesis",1,2011,"Strategy","Focus Home Interactive",0.0,0.03,0.0,0.01,0.04
"Row92","A Good Librarian Like a Good Shepherd: Library Party",1,2015,"Action","Kaga Create",0.0,0.0,0.03,0.0,0.03
"Row93","A New Beginning",1,2010,"Adventure","Deep Silver",0.0,0.05,0.0,0.01,0.06
"Row94","A Ressha de Gyoukou 2001",1,2001,"Simulation","ArtDink",0.0,0.0,0.03,0.0,0.03
"Row95","A Ressha de Ikou DS",1,2009,"Simulation","ArtDink",0.0,0.0,0.04,0.0,0.04
"Row96","A Vampyre Story",1,2008,"Adventure","Crimson Cow",0.0,0.01,0.0,0.0,0.02
"Row97","A Witch's Tale",1,2009,"Role-Playing","Nippon Ichi Software",0.08,0.0,0.03,0.01,0.11
"Row98","A llI S.V.: A Ressha de Gyoukou 3 Super Version",1,1995,"Simulation","Pack-In-Video",0.0,0.0,0.06,0.0,0.06
"Row99","A-Train",1,1995,"Simulation","Sony Computer Entertainment",0.02,0.01,0.04,0.01,0.08
"Row100","A-Train 6",1,2000,"Strategy","Midas Interactive Entertainment",0.0,0.0,0.06,0.0,0.06
"Row101","A-Train: City Simulator",1,2014,"Simulation","ArtDink",0.0,0.0,0.06,0.0,0.06
"Row102","A. IV Evolution: A Ressha de Ikou 4",1,1994,"Strategy","ArtDink",0.0,0.0,0.24,0.02,0.25
"Row103","A.C.E.: Another Century's Episode",1,2005,"Simulation","Banpresto",0.0,0.0,0.26,0.0,0.26
"Row104","A.C.E.: Another Century's Episode 2",1,2006,"Simulation","Banpresto",0.0,0.0,0.18,0.0,0.18
"Row105","A.C.E.: Another Century's Episode 3: The Final",1,2007,"Simulation","Banpresto",0.0,0.0,0.26,0.0,0.26
"Row106","A.C.E.: Another Century's Episode Portable",1,2011,"Simulation","Namco Bandai Games",0.0,0.0,0.12,0.0,0.12
"Row107","A.C.E.: Another Century's Episode R",1,2010,"Simulation","Namco Bandai Games",0.0,0.0,0.26,0.0,0.26
"Row108","ABBA: You Can Dance",1,2011,"Misc","Ubisoft",0.19,0.5,0.0,0.11,0.8
"Row109","AC/DC LIVE: Rock Band Track Pack",4,2008,"Misc","MTV Games",0.7499999999999999,0.06999999999999999,0.0,0.08,0.91
"Row110","AIR",1,2007,"Adventure","Prototype",0.0,0.0,0.02,0.0,0.02
"Row111","AKB1/149: Love Election",3,2012,"Adventure","Namco Bandai Games",0.0,0.0,0.38,0.0,0.38
"Row112","AKB1/48: Idol to Guam de Koishitara...",1,2011,"Misc","Namco Bandai Games",0.0,0.0,0.4,0.0,0.4
"Row113","AKB1/48: Idol to Koishitara...",1,2010,"Misc","Namco Bandai Games",0.0,0.0,0.41,0.0,0.41
