"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)","YearCount"
"'98 Koshien","PSX",1998,"Sports","Magical Company",0.15,0.1,0.12,0.03,0.41,23
".hack//G.U. Vol.1//Rebirth","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17,15
".hack//G.U. Vol.2//Reminisce","PS2",2006,"Role-Playing","Namco Bandai Games",0.11,0.09,0,0.03,0.23,15
".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.16,0,0.16,15
".hack//G.U. Vol.3//Redemption","PS2",2007,"Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17,14
".hack//Infection Part 1","PS2",2002,"Role-Playing","Atari",0.49,0.38,0.26,0.13,1.27,19
".hack//Link","PSP",2010,"Role-Playing","Namco Bandai Games",0,0,0.14,0,0.14,11
".hack//Mutation Part 2","PS2",2002,"Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68,19
".hack//Outbreak Part 3","PS2",2002,"Role-Playing","Atari",0.14,0.11,0.17,0.04,0.46,19
".hack//Quarantine Part 4: The Final Chapter","PS2",2003,"Role-Playing","Atari",0.09,0.07,0,0.02,0.18,18
".hack: Sekai no Mukou ni + Versus","PS3",2012,"Action","Namco Bandai Games",0,0,0.03,0,0.03,9
"007 Racing","PSX",2000,"Racing","Electronic Arts",0.3,0.2,0,0.03,0.53,21
"007: Quantum of Solace","X360, PS3, Wii1, PS2, NDS, PC",2008,"Action","Activision",1.84,1.35,0.04,0.68,3.92,13
"007: The World is not Enough","N64, PSX",2000,"Action","Electronic Arts",1.64,0.73,0.02,0.09,2.47,21
"007: Tomorrow Never Dies","PSX",1999,"Shooter","Electronic Arts",1.72,1.33,0,0.16,3.21,22
"1 vs. 100","NDS",2008,"Misc","DSI Games",0.08,0,0,0.01,0.09,13
"1/2 Summer +","PSP",2013,"Adventure","Kaga Create",0,0,0.01,0,0.01,8
"10 Minute Solution","Wii1",2010,"Sports","Activision",0.06,0.01,0,0.01,0.08,11
"100 All-Time Favorites","NDS",2009,"Puzzle","Ubisoft",0.35,0.12,0,0.04,0.51,12
"100 Classic Books","NDS",2008,"Misc","Nintendo",0.13,0.52,0,0.02,0.67,13
"100 Classic Games","NDS",2011,"Misc","Rondomedia",0,0.03,0,0,0.04,10
"1000 Cooking Recipes from ELLE à table","NDS",2010,"Misc","Nintendo",0,0.02,0,0,0.03,11
"1001 Touch Games","NDS",2011,"Action","Avanquest",0.12,0.17,0,0.04,0.33,10
"101-in-1 Explosive Megamix","NDS",2008,"Puzzle","Nordcurrent",0.05,0.13,0,0.02,0.2,13
"101-in-1 Party Megamix Wii","Wii1",2009,"Misc","Nordcurrent",0.19,0.01,0,0.02,0.23,12
"101-in-1 Sports Megamix","NDS",2010,"Sports","Nordcurrent",0.08,0,0,0.01,0.08,11
"101-in-1 Sports Party Megamix","Wii1",2010,"Sports","Nordcurrent",0.02,0,0,0,0.03,11
"1080°: TenEighty Snowboarding","N64",1998,"Sports","Nintendo",1.25,0.61,0.13,0.05,2.03,23
"11eyes: CrossOver","X360, PSP",2009,"Adventure","5pb",0,0,0.04,0,0.04,12
"12-Sai. Honto no Kimochi","3DS",2014,"Adventure","Happinet",0,0,0.07,0,0.07,7
"12-Sai. Koisuru Diary","3DS",2016,"Adventure","Happinet",0,0,0.04,0,0.04,5
"12Riven: The Psi-Climinal of Integral","PS2",2008,"Adventure","CyberFront",0,0,0.04,0,0.04,13
"15 Days","PC",2009,"Adventure","DTP Entertainment",0,0.01,0,0,0.01,12
"1701 A.D.","PC",2006,"Simulation","Deep Silver",0,0.25,0,0.05,0.3,15
"18 Wheeler: American Pro Trucker","PS2, GC",2001,"Racing","Acclaim Entertainment",0.29000000000000004,0.16999999999999998,0,0.05,0.51,20
"18 Wheels of Steel: Extreme Trucker","PC",2009,"Racing","Rondomedia",0,0.02,0,0,0.02,12
"18 Wheels of Steel: Extreme Trucker 2","PC",2011,"Racing","Rondomedia",0.08,0.02,0,0.01,0.11,10
"187: Ride or Die","PS2, XB",2005,"Racing","Ubisoft",0.12000000000000001,0.06999999999999999,0,0.02,0.21,16
"1942","Famicom",1985,"Shooter","Capcom",0.65,0.14,0.21,0,1,36
"2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race","GBA",2005,"Racing","THQ",0.09,0.03,0,0,0.12,16
"2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures","GBA",2007,"Action","THQ",1.26,0.47,0,0.03,1.76,14
"2 Games in 1: Disney Princess & The Lion King","GBA",2004,"Misc","THQ",1.25,0.46,0,0.03,1.75,17
"2 Games in 1: Disney's Brother Bear / The Lion King 1 1/2","GBA",2005,"Action","THQ",0.22,0.08,0,0.01,0.31,16
"2 Games in 1: Sonic Advance & ChuChu Rocket!","GBA",2005,"Misc","THQ",1.31,0.49,0,0.03,1.83,16
"2 Games in 1: Sonic Battle & ChuChu Rocket!","GBA",2005,"Misc","THQ",0.44,0.16,0,0.01,0.61,16
"2 Games in 1: Sonic Pinball Party & Columns Crown","GBA",2005,"Misc","Sega",0.04,0.02,0,0,0.06,16
"2 Games in 1: SpongeBob SquarePants: SuperSponge & Rugrats Go Wild","GBA",2005,"Platform","THQ",0.33,0.12,0,0.01,0.45,16
"2 in 1 Combo Pack: Sonic Heroes / Super Monkey Ball Deluxe","XB, X360",2004,"Misc","Sega",0.49,0.12,0,0.03,0.65,17
"2-in-1 Game Pack: Spider-Man & Spider-Man 2","GBA",2005,"Platform","Activision",0.06,0.02,0,0,0.09,16
"2002 FIFA World Cup","PS2, XB, GC",2002,"Sports","Electronic Arts",0.38999999999999996,0.22000000000000003,0.16,0.06999999999999999,0.8300000000000001,19
"2010 FIFA World Cup South Africa","PS3, X360, PSP, Wii1",2010,"Sports","Electronic Arts",0.94,1.46,0.13,0.47,3,11
"2014 FIFA World Cup Brazil","PS3, X360",2014,"Sports","Electronic Arts",0.29000000000000004,0.67,0.01,0.2,1.18,7
"24: The Game","PS2",2006,"Adventure","Sony Computer Entertainment",0.15,0.12,0,0.04,0.3,15
"25 to Life","PS2, XB",2006,"Shooter","Eidos Interactive",0.47,0.05,0,0.06999999999999999,0.59,15
"2Xtreme","PSX",1996,"Sports","Sony Computer Entertainment",1.15,0.2,0,0.05,1.4,25
"3 in 1: Solitaire, Mahjong & Tangram","NDS",2010,"Misc","Deep Silver",0,0.07,0,0.01,0.08,11
"300: March to Glory","PSP",2007,"Action","Warner Bros. Interactive Entertainment",0.27,0.08,0,0.06,0.41,14
"3D Baseball","PSX",1996,"Sports","BMG Interactive Entertainment",0.02,0.01,0,0,0.03,25
"3D Dot Game Heroes","PS3",2009,"Role-Playing","SouthPeak Games",0.36,0.12,0.03,0.07,0.57,12
"3D Lemmings","PSX",1995,"Puzzle","Psygnosis",0.03,0.02,0,0,0.06,26
"3D Tank Warfare Simulator Panzer Front","PSX",1999,"Simulation","Avalon Interactive",0.06,0.04,0,0.01,0.1,22
"3DS Classic Collection","3DS",2016,"Misc","Sega",0.02,0,0,0,0.03,5
"3Xtreme","PSX",1999,"Action","989 Studios",0.5,0.34,0,0.06,0.9,22
"3rd Super Robot Wars Z Jigoku Hen","PS3, PSV",2014,"Role-Playing","Namco Bandai Games",0,0,0.42000000000000004,0,0.42000000000000004,7
"3rd Super Robot Wars Z: Tengoku-Hen","PSV, PS3",2015,"Action","Namco Bandai Games",0,0,0.33999999999999997,0,0.33999999999999997,6
"4 Elements","PC",2009,"Puzzle","Mastertronic",0,0.04,0,0.01,0.05,12
"4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship","NDS",2005,"Misc","Atari",0.11,0,0,0.01,0.12,16
"4 Nin uchi Mahjong","Famicom",1984,"Misc","Nintendo",0,0,1.45,0,1.45,37
"40 Winks","PSX",1999,"Platform","GT Interactive",0.17,0.12,0,0.02,0.31,22
"428: Fuusa Sareta Shibuya de","Wii1, PSP, PS3",2008,"Adventure","Sega",0,0,0.19,0,0.19,13
"4x4 EVO 2","XB, GC",2001,"Racing","Gathering of Developers",0.29,0.08,0,0.01,0.38,20
"4x4 Evolution","PS2",2001,"Racing","Gathering of Developers",0.16,0.12,0,0.04,0.32,20
"50 Cent: Blood on the Sand","X360, PS3",2009,"Shooter","THQ",0.22,0.13,0.01,0.05,0.4,12
"50 Cent: Bulletproof","PS2, XB, PSP",2005,"Action","Vivendi Games",1.26,0.86,0,0.19,2.3,16
"50 Classic Games","NDS, 3DS",2009,"Misc","Destineer",0.52,0.02,0,0.04,0.5700000000000001,12
"64 de Hakken! Tamagotchi Minna de Tamagotchi World","N64",1997,"Misc","Namco Bandai Games",0,0,0.22,0,0.22,24
"7 Days to Die","PS4, XOne",2016,"Action","Telltale Games",0.05,0.09000000000000001,0,0.02,0.16,5
"7 Roses: A Darkness Rises","PC",2015,"Misc","Avanquest Software",0,0.02,0,0,0.02,6
"7 Wonders II","NDS",2009,"Puzzle","Rondomedia",0.14,0.15,0,0.03,0.32,12
"7 Wonders of the Ancient World","NDS, PSP",2007,"Puzzle","Funsta",0.17,0.01,0,0.02,0.21000000000000002,14
"7 Wonders: Treasures of Seven","NDS",2011,"Puzzle","Avanquest",0.02,0.03,0,0.01,0.05,10
"7th Dragon","NDS",2009,"Role-Playing","Sega",0,0,0.14,0,0.14,12
"7th Dragon 2020","PSP",2011,"Role-Playing","Sega",0,0,0.2,0,0.2,10
"7th Dragon 2020-II","PSP",2013,"Role-Playing","Sega",0,0,0.13,0,0.13,8
