"Name","Concatenate(Platform)","Min*(Year)","First(Genre)","First(Publisher)","Sum(NA_Sales)","Sum(EU_Sales)","Sum(JP_Sales)","Sum(Other_Sales)","Sum(Global_Sales)"
"'98 Koshien","PSX",1998,"Sports","Magical Company",0.15,0.1,0.12,0.03,0.41
".hack//G.U. Vol.1//Rebirth","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17
".hack//G.U. Vol.2//Reminisce","PS2",2006,"Role-Playing","Namco Bandai Games",0.11,0.09,0,0.03,0.23
".hack//G.U. Vol.2//Reminisce (jp sales)","PS2",2006,"Role-Playing","Namco Bandai Games",0,0,0.16,0,0.16
".hack//G.U. Vol.3//Redemption","PS2",2007,"Role-Playing","Namco Bandai Games",0,0,0.17,0,0.17
".hack//Infection Part 1","PS2",2002,"Role-Playing","Atari",0.49,0.38,0.26,0.13,1.27
".hack//Link","PSP",2010,"Role-Playing","Namco Bandai Games",0,0,0.14,0,0.14
".hack//Mutation Part 2","PS2",2002,"Role-Playing","Atari",0.23,0.18,0.2,0.06,0.68
".hack//Outbreak Part 3","PS2",2002,"Role-Playing","Atari",0.14,0.11,0.17,0.04,0.46
".hack//Quarantine Part 4: The Final Chapter","PS2",2003,"Role-Playing","Atari",0.09,0.07,0,0.02,0.18
".hack: Sekai no Mukou ni + Versus","PS3",2012,"Action","Namco Bandai Games",0,0,0.03,0,0.03
"007 Racing","PSX",2000,"Racing","Electronic Arts",0.3,0.2,0,0.03,0.53
"007: Quantum of Solace","X360, PS3, Wii1, PS2, NDS, PC",2008,"Action","Activision",1.84,1.35,0.04,0.68,3.92
"007: The World is not Enough","N64, PSX",2000,"Action","Electronic Arts",1.64,0.73,0.02,0.09,2.47
"007: Tomorrow Never Dies","PSX",1999,"Shooter","Electronic Arts",1.72,1.33,0,0.16,3.21
"1 vs. 100","NDS",2008,"Misc","DSI Games",0.08,0,0,0.01,0.09
"1/2 Summer +","PSP",2013,"Adventure","Kaga Create",0,0,0.01,0,0.01
"10 Minute Solution","Wii1",2010,"Sports","Activision",0.06,0.01,0,0.01,0.08
